LPC Vocoder Runs 
frame:28, loc:1, pitch period:86 
frame:28, loc:87, pitch period:86 
frame:29, loc:13, pitch period:86 
frame:29, loc:99, pitch period:86 
frame:30, loc:25, pitch period:86 
frame:30, loc:111, pitch period:86 
frame:31, loc:37, pitch period:86 
frame:31, loc:123, pitch period:86 
frame:32, loc:47, pitch period:84 
frame:32, loc:131, pitch period:84 
frame:33, loc:55, pitch period:84 
frame:33, loc:139, pitch period:84 
frame:34, loc:60, pitch period:81 
frame:34, loc:141, pitch period:81 
frame:35, loc:61, pitch period:80 
frame:35, loc:141, pitch period:80 
frame:36, loc:61, pitch period:80 
frame:36, loc:141, pitch period:80 
frame:37, loc:61, pitch period:80 
frame:37, loc:141, pitch period:80 
frame:38, loc:61, pitch period:80 
frame:38, loc:141, pitch period:80 
frame:39, loc:64, pitch period:83 
frame:39, loc:147, pitch period:83 
frame:40, loc:72, pitch period:85 
frame:40, loc:157, pitch period:85 
frame:41, loc:88, pitch period:91 
frame:42, loc:19, pitch period:91 
frame:42, loc:110, pitch period:91 
frame:43, loc:41, pitch period:91 
frame:43, loc:132, pitch period:91 
frame:49, loc:1, pitch period:150 
frame:49, loc:151, pitch period:150 
frame:50, loc:148, pitch period:157 
frame:51, loc:150, pitch period:162 
frame:52, loc:159, pitch period:169 
frame:54, loc:22, pitch period:183 
frame:55, loc:55, pitch period:193 
frame:56, loc:95, pitch period:200 
frame:57, loc:135, pitch period:200 
frame:69, loc:1, pitch period:163 
frame:70, loc:11, pitch period:170 
frame:71, loc:21, pitch period:170 
frame:72, loc:32, pitch period:171 
frame:73, loc:43, pitch period:171 
frame:74, loc:54, pitch period:171 
frame:86, loc:1, pitch period:145 
frame:86, loc:146, pitch period:145 
frame:87, loc:131, pitch period:145 
frame:88, loc:117, pitch period:146 
frame:89, loc:103, pitch period:146 
frame:90, loc:89, pitch period:146 
frame:91, loc:75, pitch period:146 
frame:92, loc:62, pitch period:147 
frame:93, loc:49, pitch period:147 
frame:94, loc:36, pitch period:147 
frame:95, loc:24, pitch period:148 
frame:96, loc:12, pitch period:148 
frame:97, loc:1, pitch period:148 
frame:97, loc:149, pitch period:148 
frame:98, loc:137, pitch period:148 
frame:99, loc:122, pitch period:145 
frame:108, loc:1, pitch period:124 
frame:108, loc:125, pitch period:124 
frame:109, loc:93, pitch period:128 
frame:110, loc:61, pitch period:128 
frame:111, loc:36, pitch period:135 
frame:112, loc:11, pitch period:135 
frame:112, loc:146, pitch period:135 
frame:113, loc:121, pitch period:135 
frame:114, loc:97, pitch period:136 
frame:115, loc:74, pitch period:137 
frame:116, loc:52, pitch period:138 
frame:117, loc:30, pitch period:138 
frame:118, loc:8, pitch period:138 
frame:118, loc:146, pitch period:138 
frame:119, loc:124, pitch period:138 
frame:120, loc:106, pitch period:142 
frame:121, loc:88, pitch period:142 
frame:122, loc:70, pitch period:142 
frame:132, loc:1, pitch period:152 
frame:132, loc:153, pitch period:152 
frame:133, loc:150, pitch period:157 
frame:134, loc:150, pitch period:160 
frame:135, loc:155, pitch period:165 
frame:137, loc:6, pitch period:171 
frame:138, loc:24, pitch period:178 
frame:139, loc:47, pitch period:183 
frame:140, loc:75, pitch period:188 
